N,TFLOPS
219,2.40308462211371
220,2.854061529432336
221,2.4843708902398354
222,2.981152665738359
223,2.535064889430088
224,3.3232351241108664
225,2.6470994957207625
226,3.085615750750226
227,2.7254716043018203
228,3.136826980743212
229,2.78592808473275
230,3.236306319407748
231,2.8695073581012895
232,3.5208566381406956
233,2.9217218150661997
234,3.444764771690675
235,2.9923215991507885
236,3.4670651756233775
237,3.0856112147464776
238,3.5539837051775427
239,3.0941873783441998
240,3.9646301563458692
241,3.158956196677462
242,3.5647199999773385
243,3.235507924554541
244,3.6852403612800164
245,3.2909135306226083
246,3.7695181693473665
247,3.291491517290317
248,4.092113466323987
249,3.3722692612520335
250,3.897194732875406
251,3.485804732992263
252,3.9579133884868245
253,3.572668671210526
254,4.041492623733818
255,3.682150740947879
256,4.675962182868617
257,3.3851216907774395
258,3.770206330974875
259,3.504148215535352
260,3.8781740223176975
261,3.5402557948597697
262,3.954630189047725
263,3.508831760486693
264,4.351999951470544
265,3.5505316881056
266,4.058019754295651
267,3.7368437539905623
268,4.146772832215849
269,3.801779154062137
270,4.289004727552183
271,3.8418540055462627
272,4.954266574997728
273,3.959885045386028
274,4.515572568271052
275,4.079889225230872
276,4.595831079107526
277,4.093452537351731
278,4.666345244457516
279,4.210730781809959
280,5.239287863698505
281,4.260618998085064
282,4.875291511649769
283,4.384673128341203
284,4.8719742922790354
285,4.417122619930766
286,5.0365003806968645
287,4.6345481943497715
288,5.757745940269308
289,4.51045867040765
290,5.057242834221973
291,4.63441334387196
292,5.094861154902012
293,4.697227423910476
294,5.244841753371664
295,4.700752270169039
296,5.918060939815049
297,4.751026111035375
298,5.419731392639141
299,4.894573803861516
300,5.455280196167179
301,5.092584143670771
302,5.610637176505578
303,5.058522556099474
304,6.981113320689932
305,5.1702739347259214
306,5.823006249369706
307,5.232870975277485
308,5.9019475469898195
309,5.3873110734249074
310,5.954277232269887
311,5.344549088964903
312,6.901098245122895
313,5.485592233590833
314,6.187897709799338
315,5.59490503995401
316,6.2926874844119025
317,5.73329077008909
318,6.379251663231754
319,5.717603721967519
320,8.014732906377109
321,5.032936927479637
322,6.046156279141273
323,5.223565650882751
324,6.1214167574860685
325,5.283923559239768
326,6.348276218453254
327,5.235240869711156
328,8.011329743258667
329,5.292528156700103
330,6.472526236887667
331,5.556059871543911
332,6.501957918994916
333,5.5766939030557126
334,6.61112337653392
335,5.645103019016714
336,8.474543814850673
337,5.783416751875668
338,6.926371863932673
339,5.954782924806846
340,6.950609845919156
341,6.029452126782686
342,7.194778226116201
343,6.129485802559393
344,8.819924474202958
345,6.141211792452383
346,7.34976225379605
347,6.209603991579151
348,7.310682864200581
349,6.3174826334113625
350,7.3694270816542815
351,6.456044715755591
352,11.49307929039725
353,7.546105594276863
354,7.7105970246631195
355,7.571490874010214
356,7.734949054943433
357,7.6755493357400955
358,8.038525286022546
359,7.697087745696749
360,11.496622640783226
361,7.772505129021714
362,8.132835718254562
363,7.972339247632292
364,8.125727959360388
365,8.073899615587084
366,8.297353645332395
367,8.120420094535463
368,12.547207445119149
369,8.29038331392541
370,8.661330231376933
371,8.484155064244945
372,8.706558085890787
373,8.709918823613231
374,8.904861866950952
375,8.62566448911073
376,12.664677315705632
377,8.688950165356871
378,8.93375116916649
379,8.909995022718043
380,9.141149086414098
381,9.057593964322045
382,9.40361647495375
383,7.763386066574918
384,14.338806613037493
385,7.631786366015755
386,10.70933420573603
387,7.933515013457957
388,10.549100345084838
389,7.998846455734995
390,11.03014955950421
391,7.853726653989017
392,13.98586252138335
393,7.994929308387327
394,11.053906453308008
395,8.340203999490399
396,11.498452056942801
397,8.402094435608738
398,11.673552402595924
399,8.358446586226826
400,15.977912799292055
401,8.455592241805451
402,11.756113896187442
403,8.784466033861719
404,12.217812846223346
405,8.781813304712282
406,12.435393031530705
407,8.897920336810053
408,15.525000437075208
409,8.966717764009724
410,12.533048938464507
411,9.098903132945592
412,12.75226012825739
413,9.325633192960796
414,12.98348955329289
415,9.461771668182186
416,17.447707906743858
417,9.474625657548323
418,12.829832829049838
419,9.587523587177994
