N,TFLOPS
575,17.11064889939614
576,27.057562452496995
577,18.258754489101364
578,27.33061586142657
579,18.271186845018757
580,27.65559456855871
581,18.540851283405733
582,27.362055243193968
583,18.545530915453543
584,31.64057762550981
585,18.950931269712456
586,27.57026670269068
587,18.795611203429214
588,27.96393377014292
589,19.12959396575544
590,27.691070366773403
591,19.07951348277618
592,36.2382061376001
593,20.051844623795546
594,27.882433142320327
595,20.024969396987277
596,28.15275776933166
597,20.130958166578395
598,28.13986751025298
599,20.430011869379108
600,34.062403278295314
601,20.093162725226588
602,28.688199122757023
603,20.12837226602959
604,28.776452183622773
605,20.266979559955306
606,29.096323859655744
607,20.315346535255017
608,41.072389475594356
609,20.4435876577931
610,29.053949086341163
611,20.506784030312602
612,29.670793146558047
613,20.63826945300388
614,29.176041472213313
615,20.451689462159816
616,36.929828148149525
617,20.613657621087643
618,29.559983433495653
619,20.865952715659965
620,29.65849098637569
621,20.695297188535104
622,30.070383646292704
623,20.951448419233117
624,43.660897501093906
625,21.12218241995321
626,30.47326024613183
627,21.12980721396589
628,30.754474162589204
629,21.520255533715513
630,31.10562237965703
631,21.51700057092132
632,38.19836131033715
633,21.47968226487207
634,31.548750504646172
635,21.557462198356266
636,31.55185788610688
637,21.780436615050093
638,31.503035052810187
639,21.509441170397093
640,51.89936710528719
641,24.0921931458932
642,31.58836724507864
643,24.511744463775372
644,32.36862389651378
645,24.560204467365327
646,32.69174583253256
647,24.70807395273647
648,40.92984356698943
649,24.882580993608105
650,33.08632363727861
651,25.015390785044723
652,33.642600330113595
653,25.17447341386552
654,33.243756280285076
655,25.33406178380557
656,43.90522927830869
657,25.4015257401549
658,34.036075419341586
659,25.879650302742817
660,34.01655628738279
661,26.09311896759546
662,33.98808520440889
663,26.25478096990952
664,44.04763820265366
665,25.94080568488198
666,34.223954668686645
667,26.112858356115808
668,34.796137119933256
669,26.275783509275016
670,34.956373920601294
671,26.369749683828015
672,49.031213360896125
673,27.16823594979895
674,35.55120336752411
675,27.288701161366706
676,35.29431433141536
677,27.358802326252015
678,35.99174124600164
679,27.35253225259737
680,46.988865071133084
681,27.87854157732402
682,36.23241278147827
683,27.853676820613455
684,36.78919462363115
685,28.148645864184214
686,36.46436041037925
687,28.198825200292504
688,52.265899880384445
689,27.664156583824095
690,37.10397529765122
691,27.742562857366913
692,37.03660138432832
693,27.819036269756893
694,37.309206506127396
695,27.769809587976603
696,49.22450785663408
697,27.67646623056745
698,37.341765479979394
699,27.595584284999592
700,36.907305318806955
701,28.064594323664426
702,37.949387108279986
703,28.4933689077898
704,60.75086868624741
705,30.290434998927303
706,37.05396282326185
707,30.182874238940602
708,37.44769756664392
709,30.027947550591676
710,37.21162151875973
711,30.056694511431218
712,36.64171178259905
713,29.941491431397257
714,37.703901346545045
715,30.53903502126454
716,37.909645773287025
717,30.952224875978505
718,38.00508137411325
719,30.710000718695277
720,37.680147167972166
721,31.258440744667116
722,38.00621591376915
723,31.576872231223458
724,38.60397719384238
725,32.37026017846887
726,38.42233564319399
727,32.29222519557252
728,36.879937283908156
729,32.732645962211514
730,38.8826715985035
731,32.82293059201515
732,39.06255440580245
733,33.13178776997991
734,38.99129036741294
735,33.09587234682238
736,40.6134384406537
737,33.28065300816851
738,39.547368128388946
739,33.56747989554108
740,39.63787023672879
741,33.69103739559768
742,39.732383951613684
743,33.68353265708355
744,42.70176357997374
745,33.8452098135569
746,40.25351551876908
747,33.831208947770335
748,40.39828296336366
749,33.94466899611602
750,40.355869563437906
751,33.7805128672782
752,51.8221925969399
753,34.19560894525606
754,41.16195354799172
755,34.34967056156317
756,41.17444575271794
757,34.41180456312514
758,41.03086016544321
759,34.51920600753161
760,41.54650563033742
761,34.742350419780536
762,41.52718071582506
763,34.8831516657769
764,42.12754548690845
765,35.01145457432386
766,41.53429116239294
767,34.978308680531256
768,60.955174415458956
769,35.255003755603596
